datetime_utc_0,actual_time_utc_0,postal,booking_id,committed_time_utc_0,estimated_time_utc_0,status,type
2017-06-09T16:00:21.000+02:00,,10967,de14e461-8db6-482a-a427-e1c81e508ca7,2017-06-09T16:01:47.000+02:00,2017-06-09T16:01:47.000+02:00,open,pickup
2017-06-09T16:00:26.000+02:00,,10967,de14e461-8db6-482a-a427-e1c81e508ca7,2017-06-09T16:01:47.000+02:00,2017-06-09T16:01:47.000+02:00,open,pickup
2017-06-09T16:00:26.000+02:00,,10961,f2af9859-3248-4e39-a91a-efbc67178b03,2017-06-09T16:05:34.000+02:00,2017-06-09T16:05:34.000+02:00,open,pickup
2017-06-09T16:00:40.000+02:00,,10961,f2af9859-3248-4e39-a91a-efbc67178b03,2017-06-09T16:05:34.000+02:00,2017-06-09T16:05:34.000+02:00,open,pickup
2017-06-09T16:00:51.000+02:00,,10559,c1e85615-7518-45ee-96e1-7eb5903223a4,2017-06-09T16:15:19.000+02:00,2017-06-09T16:15:19.000+02:00,open,pickup
2017-06-09T16:00:51.000+02:00,,13353,c1e85615-7518-45ee-96e1-7eb5903223a4,2017-06-09T16:22:34.000+02:00,2017-06-09T16:22:34.000+02:00,open,dropoff
2017-06-09T16:00:57.000+02:00,,10781,a9419ee1-b6a8-4b3e-950c-fd531311fbe7,2017-06-09T16:19:53.000+02:00,2017-06-09T16:19:53.000+02:00,open,dropoff
2017-06-09T16:00:57.000+02:00,,10965,a9419ee1-b6a8-4b3e-950c-fd531311fbe7,2017-06-09T16:09:29.000+02:00,2017-06-09T16:09:29.000+02:00,open,pickup
2017-06-09T16:01:03.000+02:00,,10559,c1e85615-7518-45ee-96e1-7eb5903223a4,2017-06-09T16:15:19.000+02:00,2017-06-09T16:15:19.000+02:00,open,pickup
2017-06-09T16:01:45.000+02:00,,10969,a95c608c-5469-4519-9ce4-3568a0509c75,2017-06-09T16:06:23.000+02:00,2017-06-09T16:06:23.000+02:00,open,pickup
2017-06-09T16:01:48.000+02:00,,10969,a95c608c-5469-4519-9ce4-3568a0509c75,2017-06-09T16:06:23.000+02:00,2017-06-09T16:06:23.000+02:00,open,pickup
2017-06-09T16:01:59.000+02:00,,10965,a9419ee1-b6a8-4b3e-950c-fd531311fbe7,2017-06-09T16:09:29.000+02:00,2017-06-09T16:09:29.000+02:00,open,pickup
2017-06-09T16:02:24.000+02:00,,10963,e28378d8-8b1c-405b-b129-52d52c2f56cd,2017-06-09T16:16:25.000+02:00,2017-06-09T16:16:25.000+02:00,open,pickup
2017-06-09T16:02:24.000+02:00,,10559,c1e85615-7518-45ee-96e1-7eb5903223a4,2017-06-09T16:15:19.000+02:00,2017-06-09T16:15:19.000+02:00,cancelled,pickup
2017-06-09T16:02:24.000+02:00,,10967,de14e461-8db6-482a-a427-e1c81e508ca7,2017-06-09T16:01:47.000+02:00,2017-06-09T16:02:25.000+02:00,open,pickup
2017-06-09T16:02:24.000+02:00,,13353,c1e85615-7518-45ee-96e1-7eb5903223a4,2017-06-09T16:22:34.000+02:00,2017-06-09T16:22:34.000+02:00,cancelled,dropoff
2017-06-09T16:02:39.000+02:00,,10405,6c86c739-af50-4f9c-98e0-63bf3eaaab52,2017-06-09T16:31:22.000+02:00,2017-06-09T16:31:22.000+02:00,open,dropoff
2017-06-09T16:02:39.000+02:00,,10997,6c86c739-af50-4f9c-98e0-63bf3eaaab52,2017-06-09T16:16:36.000+02:00,2017-06-09T16:16:36.000+02:00,open,pickup
2017-06-09T16:02:44.000+02:00,,10997,6c86c739-af50-4f9c-98e0-63bf3eaaab52,2017-06-09T16:16:36.000+02:00,2017-06-09T16:16:36.000+02:00,open,pickup
